sim_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi,nn_max_phi,nn_mean_phi,nn_std_phi,nn_min_theta,nn_max_theta,nn_mean_theta,nn_std_theta,nn_min_psi,nn_max_psi,nn_mean_psi,nn_std_psi,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7
1,circle_xy,False,6.0,0.02,60,10,True,299,0.7678803596825793,9.932372800423764,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.4389237526682205,0.4295612990498483,-0.02134763184498851,0.26504524704658405,-0.3743893690513993,0.3753624827678571,-0.00025613719554242744,0.2224732593258113,-0.004553966463608579,0.1853475174704219,0.123251916321409,0.04870538444481447,True,1.4407442004885525,0.7975192829781167,-0.39197380870287096,0.37999917427820534,-0.019575213999751668,0.2337478228914627,-0.310556958257441,0.3507081925472868,0.003095014064876406,0.19071580184223164,0.0,0.16764991046765398,0.10450906415433255,0.04139088093478699,1,2.0,0.09810184947588826,2.3403767273005354,2.377106148788895,1.8521332967078807,2.4201889035800734,2.9386828011462587,1.7049502793932145,2.2693081557800463,2.5539256618382105
2,circle_xy,False,6.0,0.02,60,10,True,299,1.674557165048058,6.444176900200546,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7103747459030848,0.8464545065585051,-0.03619887998865979,0.43823394386413655,-0.5681868031424167,0.6706866730648106,0.02625871689303292,0.35104094906674016,-0.017732097157916696,0.5622629510161516,0.3123927005051074,0.1224986770302391,True,1.5824893987737596,1.7080416749606981,-0.6726566773750481,0.7077378490786804,-0.03084959731892098,0.4083500411294073,-0.5327238615462078,0.6184760600453385,0.021325767521394475,0.3333382092143978,-0.0006628270986514262,0.4751405250719263,0.27259269378496126,0.1072211130187327,2,2.0,0.1793704074177384,4.535295199171123,5.1745406759534,3.822783569753098,5.24686202254605,4.515526408162402,4.097732989821054,5.238897712171964,4.781135486824333
3,circle_xy,False,6.0,0.02,60,10,True,299,2.802540616611026,7.041160000022501,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.928986800314056,1.2378551645691487,-0.016462789893330224,0.5600000117062908,-0.45983548369390026,1.0403107539383585,0.13114603942104747,0.44006916460692375,-0.038217477792906636,0.93599507129636,0.4609281670193665,0.2320309365717033,True,1.7807140987133607,2.7888838291446647,-0.8412832901573041,1.0719901153179066,-0.006331157629476077,0.555714579373768,-0.581233529442314,0.901814941999946,0.07272031823975768,0.4337096111806711,0.0,0.7267062611996453,0.43852853463265357,0.17286615061390084,3,2.0,0.3095615635630339,8.493442383829072,11.097004366617478,7.1829871115491715,10.392806957114102,8.40516681760049,9.011060837244534,10.254980483654574,9.151929762368555
4,circle_xy,False,6.0,0.02,60,10,True,299,4.084736168585485,7.741404599393718,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.1246845259793266,1.3922417335839388,0.04444452500439861,0.6246325444779643,-0.49961349633879176,1.3154066863321612,0.22230119926977068,0.5282445656508089,-0.06214662712987918,1.2529323197865672,0.54090123499819,0.35478037734630546,True,1.9514578989474103,4.066036682524777,-0.9858676003247683,1.438653564384203,0.01287994419418302,0.6757848312992097,-0.7102853590517005,1.1425522332271651,0.13156124432934188,0.5086820334010206,0.0,1.0050169531620872,0.589130233184783,0.22374953003694337,4,2.0,0.5671623880370759,12.262523668536698,16.7315275868136,11.876524780116103,16.035392658529197,12.67061123972784,14.035936485014668,15.419094627607816,14.301761908192619
5,circle_xy,False,9.0,0.02,60,10,True,449,0.4623745587301968,11.770064499694854,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.37357981994164396,0.38299700455147795,-0.009991137117966176,0.23740526764182648,-0.331366050891005,0.3325716328297871,-0.007743201608556662,0.21098864448839783,-0.027718398067862245,0.10830394624726769,0.06650229508541307,0.02812302229481268,True,2.64325130044017,0.500934369101564,-0.3557823105786824,0.36617496357540996,-0.010848564726674925,0.2234627425906186,-0.30654548164537276,0.2967115197967599,-0.004830875471222469,0.18819679504613945,-0.023987345364566554,0.08192186337832848,0.041474676736339845,0.02337161111667959,1,3.0,0.07474012077893817,1.5606853718687104,1.618810673381707,1.4386736555183508,1.494058993959335,2.0388517883207693,1.128617515555166,1.8119552969903165,1.8088784226471613
6,circle_xy,False,9.0,0.02,60,10,True,449,1.0517873457712599,11.294137999531813,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5607416363297107,0.7594291851105207,-0.002486937684017134,0.39957637599066176,-0.5489436235573492,0.5626220142097821,-0.00949556071670238,0.34234221023571104,-0.11311841530249304,0.2699361634206813,0.1714488132156402,0.07478006664544279,True,2.392402998637408,1.1083943451379514,-0.5764935463191864,0.6872474366818608,-0.018661357816349592,0.3830663612917504,-0.548650419132087,0.5701307425716187,-0.010267175740891766,0.333359146174718,-0.084386008663443,0.2689361501971009,0.14622785532487398,0.07411842500942543,2,3.0,0.1176167432729858,3.045628403836759,4.13430192634664,3.3164402357526304,3.6631544596936143,4.240680756623008,2.965316902197633,3.5915956789040897,4.24548367468877
7,circle_xy,False,9.0,0.02,60,10,True,449,1.7859493550828267,10.413718000636436,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6707780564345178,1.1645106001472174,0.016180559706475677,0.5061777147865774,-0.7372950832288644,0.8881781525357587,-0.028918819826967878,0.44853871997811773,-0.25996153096144725,0.634342254775051,0.2959568557504881,0.1430151462081154,True,2.351502701290883,1.809863554455737,-0.684623656943536,1.027232651618089,-0.016792342551872244,0.5079227367137419,-0.7431159079411298,0.7956747808176698,-0.030541621426477393,0.4354858338586905,-0.17420694856989094,0.4929372837548383,0.2772493677674708,0.13953766197154585,3,3.0,0.2862913758459059,6.951401224292378,8.670484189175149,6.785484217173448,8.140505311793008,8.14857156790858,6.621061931144434,8.026271799926572,8.394689498370116
8,circle_xy,False,9.0,0.02,60,10,True,449,2.585412763769396,11.68356669973582,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.7159977620060858,1.399345318662272,0.007349366562294498,0.5730610158902787,-0.9754584280060054,1.1712248581881566,-0.03904635162082897,0.5447499601978868,-0.441201092089686,0.756701080252002,0.36907556966972743,0.1956707451867695,True,2.8406772994203493,2.754093378623161,-0.8975411226888437,1.377552958897366,-0.02339955303507575,0.6145709448879138,-0.9422370947666627,1.0024742222040748,-0.05713228015019814,0.514495020122842,-0.2793236105012501,0.8516789931133233,0.41327009341726845,0.23250722231928445,4,3.0,0.8003688831741116,14.633822880336757,17.23968211361986,14.7898560364257,16.84522977015817,16.72031222765803,14.253301339442354,16.81255840226637,16.342962531397887
9,circle_xy,False,12.0,0.02,60,10,True,599,0.2886792411562378,17.312031398527324,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.24916374672938643,0.27818752731169666,-0.0044860108712535054,0.1680827386396185,-0.24314095023227716,0.27157171403383934,-0.006648351706193401,0.1669736456116279,-0.025690041687923517,0.042717491597257205,0.024071033726158174,0.011986979356946866,True,3.9896239989902824,0.3047446116906845,-0.2594503429156283,0.2846416493242863,-0.004401380802003235,0.16719246779577118,-0.24362407898275185,0.24880735350243233,-0.005324796985264394,0.15505400743588948,-0.028154030409902036,0.030243301811395746,0.01174258288607402,0.013531069335244904,1,4.0,0.04832375087106715,1.5104467676518034,1.4497034741821608,1.627408468707508,1.4122850694375428,1.6969572617078068,1.477219441387243,1.483162642455646,1.6274983710559585
10,circle_xy,False,12.0,0.02,60,10,True,599,0.6548627461796237,19.383444099803455,normal,nan,100.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.41789874435498253,0.5753131535052095,-0.004861671449353302,0.3057807230811892,-0.4486207006006348,0.4836009860667433,-0.012569263279325279,0.2973827529858223,-0.10863693033335184,0.1523529773234413,0.08456593101554621,0.041663520312908535,True,3.3741536010056734,0.7156847956126791,-0.4529288915125269,0.539722578409104,-0.01164070713798558,0.30218643753344226,-0.44223832187776735,0.5189024176079633,-0.010869591763661101,0.2848320632330228,-0.09613915438507185,0.11845733597337342,0.06504648135660054,0.03766681430819325,2,4.0,0.10501023736166089,2.8722775989342995,2.901053008376213,3.031192323770688,2.7906821029761475,3.1326576573021305,2.777717580070078,3.1366582910014356,3.1362610054134383
